Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
MI01-Clematide	lt_lt-l-t-v	67.25	8.51	67.92	7.6	68.7	8.3
MI01-Clematide	lt_r-e-l-n-s-v	66.97	8.68	67.92	8.36	68.59	8.78
MI01-Clematide	lt_lt-e-l-n-t-v	67.25	8.51	67.92	7.6	68.7	8.3
NA02-Ploch	li-pt_li-pt-t-v	66.86	14.15	67.9	12.41	70.85	12.7
MI01-Clematide	li-pt_li-pt-s-v	66.48	11.47	67.89	11.6	68.45	12.01
NA02-Ploch	li_li-e-n-l-v	68	14.04	67.87	12.15	70.92	12.47
NA02-Ploch	li_li-n-l-v	68	14.04	67.87	12.15	70.92	12.47
NA02-Ploch	li-pt_li-pt-e-l-n-t-v	66.86	14.1	67.85	11.96	70.79	12.4
MI01-Clematide	lt-ps_lt-ps-s-v	66.13	13.25	67.81	12.66	68.26	13.16
MI01-Clematide	li-ps_li-ps-s-v	66.48	11.63	67.78	11.81	68.38	12.15
NA02-Ploch	li_li-l-t-v-s	66.29	13.37	67.77	10.49	70.8	10.57
NA02-Ploch	li_li-e-l-s-t-v	66.29	13.37	67.77	10.49	70.8	10.57
NA02-Ploch	li_li-l-n-s-t-v	66.29	13.37	67.77	10.49	70.8	10.57
NA02-Ploch	li_li-e-l-n-t-s-v	66.29	13.37	67.77	10.49	70.8	10.57
MI01-Clematide	lt_lt-e-l-v	67.81	10.26	67.73	9.73	68.61	10.45
MI01-Clematide	lt_lt-l-v	67.81	10.26	67.73	9.73	68.61	10.45
MI01-Clematide	lt_lt-l-v	67.81	10.26	67.73	9.73	68.61	10.45
NA02-Ploch	sc_sc-e-t-v-s	67.89	14.92	67.7	12.89	70.73	12.8
NA02-Ploch	sc_sc-n-t-v-s	67.89	14.92	67.7	12.89	70.73	12.8
NA02-Ploch	sc_sc-l-t-v-s	67.89	14.92	67.7	12.89	70.73	12.8
MI01-Clematide	lt_lt-l-t-v-s	66.06	8.96	67.7	8.57	68.08	8.93
NA02-Ploch	sc_sc-t-v-s	67.89	14.92	67.7	12.89	70.73	12.8
NA02-Ploch	sc_sc-e-l-s-t-v	67.89	14.92	67.7	12.89	70.73	12.8
MI01-Clematide	lt_lt-e-l-s-t-v	66.06	8.96	67.7	8.57	68.08	8.93
NA02-Ploch	sc_sc-e-n-s-t-v	67.89	14.92	67.7	12.89	70.73	12.8
NA02-Ploch	sc_sc-l-n-s-t-v	67.89	14.92	67.7	12.89	70.73	12.8
MI01-Clematide	lt_lt-l-n-s-t-v	66.06	8.96	67.7	8.57	68.08	8.93
NA02-Ploch	sc_sc-e-l-n-t-s-v	67.89	14.92	67.7	12.89	70.73	12.8
MI01-Clematide	lt_lt-e-l-n-t-s-v	66.06	8.96	67.7	8.57	68.08	8.93
MI01-Clematide	li_li-e-l-v	66.9	12.39	67.66	12.17	68.18	12.72
MI01-Clematide	li_li-l-v	66.9	12.39	67.66	12.17	68.18	12.72
NA02-Ploch	li_r-t-v	65.25	14.13	67.66	11.35	70.39	11.78
MI01-Clematide	li_li-l-v	66.9	12.39	67.66	12.17	68.18	12.72
MI01-Clematide	lt_r-v	65.92	15.24	67.56	14.53	67.95	15.01
MI01-Clematide	lt_r-e-v	65.92	15.24	67.56	14.53	67.95	15.01
MI01-Clematide	li_r-e-l-s-t-v	65.99	8.2	67.53	7.66	68.2	7.98
MI01-Clematide	li_r-l-n-s-t-v	65.99	8.2	67.53	7.66	68.2	7.98
MI01-Clematide	li_r-e-l-n-t-s-v	65.99	8.2	67.53	7.66	68.2	7.98
RE02-Sänger	lt_lt-e-l-v-s	67.24	8.29	67.51	7.05	71.49	6.94
NA02-Ploch	li-ps_li-ps-n-v	67.09	14.64	67.51	13.41	70.51	13.5
NA02-Ploch	ss_ss-e-t-v-s	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	ss_ss-n-t-v-s	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	ss_ss-l-t-v-s	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	li_li-e-n-v	67.09	14.17	67.45	12.65	70.29	12.94
NA02-Ploch	ss_ss-t-v-s	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	li_li-n-v	67.09	14.17	67.45	12.65	70.29	12.94
NA02-Ploch	li_li-n-v	67.09	14.17	67.45	12.65	70.29	12.94
NA02-Ploch	lt-ps_lt-ps-t-v	66.51	12.56	67.45	11.4	70.58	11.15
NA02-Ploch	ss_ss-e-l-s-t-v	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	ss_ss-e-n-s-t-v	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	ss_ss-l-n-s-t-v	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	ss_ss-e-l-n-t-s-v	67.66	14.31	67.45	12.81	70.46	12.26
NA02-Ploch	li-pt_li-pt-s-v	66.4	12.21	67.44	9.61	70.4	9.95
MI01-Clematide	lt-ps_lt-ps-l-v	66.13	13.13	67.42	12.29	67.92	13.05
NA02-Ploch	lt-pt_lt-pt-e-l-n-t-v	67.09	13.7	67.41	13.1	70.02	14.06
MI01-Clematide	lt-ps_lt-ps-v	66.06	13.19	67.39	12.31	67.9	13.05
MI01-Clematide	lt-ps_lt-ps-e-v	66.06	13.19	67.39	12.31	67.9	13.05
NA02-Ploch	sc-pt_sc-pt-t-v	66.06	14.69	67.39	13.47	70.15	13.3
NA02-Ploch	sc-pt_sc-pt-e-l-n-t-v	66.06	14.69	67.39	13.47	70.15	13.3
NA02-Ploch	lt-pt_lt-pt-t-v	66.86	13.49	67.38	12.98	69.93	13.94
MI01-Clematide	lt_r-s-v	65.36	15.11	67.3	14.28	67.66	14.64
NA02-Ploch	sc_sc-e-n-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-e-l-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-n-l-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-e-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-n-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-l-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	sc_sc-e-l-n-t-v	68.12	13.66	67.27	11.9	70.05	12.37
NA02-Ploch	lt_r-e-l-s-t-v	65.83	12.59	67.26	9.3	70.31	9.7
NA02-Ploch	lt_r-l-n-s-t-v	65.83	12.59	67.26	9.3	70.31	9.7
NA02-Ploch	lt_r-e-l-n-t-s-v	65.83	12.59	67.26	9.3	70.31	9.7
