Lexicon	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
11-Du	41.218767123287684	14.845821917808221	46.722363013698626	11.611335616438357	49.69715753424661	13.529965753424651	38.25544520547947	8.273493150684939	46.89941780821918	9.72976027397262	46.395993150684916	9.573732876712338	32.106404109589036	9.37979452054795	40.36934931506848	9.68760273972603	39.5032191780822	7.727191780821923	35.994931506849326	12.555719178082192	41.0562671232877	16.6254109589041	46.501815068493144	10.763527397260269	59.63828767123288	13.538287671232878	58.1428082191781	8.228082191780818	65.96948630136987	11.16866438356165	34.518561643835625	7.573390410958907	43.12678082191786	6.817431506849309	44.483595890410975	8.545582191780825
12-Asgari	40.38698630136985	11.46883561643836	43.86037671232877	8.14708904109589	47.81842465753423	10.7588698630137	41.552226027397275	6.123869863013699	47.5390068493151	6.994623287671235	47.15071917808222	7.2660273972602765	31.79421232876713	3.1704109589041094	38.607910958904085	4.506335616438355	38.90523972602741	2.7326712328767107	35.90712328767128	12.273116438356155	39.23359589041093	14.77325342465753	46.03962328767125	10.716335616438354	53.32561643835625	10.629452054794525	49.355000000000054	2.3573972602739723	58.841472602739735	10.584760273972597	35.561164383561646	6.858013698630132	42.38109589041093	6.181952054794524	44.31496575342468	7.816849315068494
13-Waltinger	51.484931506849286	10.008527397260272	55.23907534246577	8.778150684931518	58.88270547945208	8.967636986301361	50.85256849315066	6.061712328767122	55.29455479452055	5.972602739726029	57.19955479452055	6.019760273972606	49.4014383561644	6.390445205479457	54.60133561643835	7.472363013698631	56.94359589041093	5.299520547945205	53.387465753424685	12.172191780821901	55.09263698630135	19.126815068493126	63.265376712328774	9.132054794520545	59.74654109589043	8.88256849315068	59.02681506849311	4.3880821917808195	64.99849315068496	8.512397260273964	45.00753424657538	6.247123287671238	52.447945205479456	5.896575342465753	53.40517123287674	6.5687328767123345
14-Wolf	44.93623287671234	14.522739726027405	48.59438356164379	10.311780821917813	52.097808219178106	13.45061643835617	38.64434931506849	4.783561643835616	46.195308219178	5.7852739726027425	44.96421232876716	6.2613356164383545	33.66479452054792	7.758972602739726	42.177705479452044	8.164863013698625	41.11780821917811	7.704828767123289	39.35619863013698	18.152431506849315	43.796575342465715	20.059383561643862	49.19952054794524	16.25321917808219	62.10945205479452	11.822499999999998	56.516917808219176	4.244589041095888	66.38541095890412	10.803801369863022	42.19606164383562	8.80342465753424	48.8000684931506	8.068219178082192	50.700342465753444	10.618664383561644
15-Klinger	42.302499999999995	16.953732876712323	46.839897260274	13.159006849315062	50.1709589041096	15.281780821917796	31.366849315068496	4.628219178082196	38.85804794520545	3.462191780821917	39.19876712328769	4.323869863013698	31.837260273972614	4.170068493150682	40.1761301369863	4.769589041095891	40.20520547945206	4.324794520547945	38.16150684931509	16.39246575342467	42.09739726027394	18.18955479452054	48.90037671232874	14.927602739726032	63.403116438356186	17.125410958904105	61.66116438356161	11.97869863013699	68.09479452054796	14.99321917808219	37.49010273972601	9.031369863013696	44.18342465753426	8.309041095890409	46.338390410958915	10.113767123287678
16-Wiebe	50.2207876712329	8.219760273972604	52.232465753424655	7.549246575342469	56.47263698630135	7.799006849315068	50.44397260273971	5.036815068493149	53.45160958904113	5.611404109589043	55.396678082191784	5.113801369863013	52.097328767123294	6.614486301369864	53.54770547945204	5.3071232876712315	57.87404109589041	7.022226027397266	50.9557191780822	10.962808219178081	51.38386986301371	16.877191780821917	59.97599315068492	9.014999999999993	55.096815068493136	6.72698630136986	53.41804794520548	4.0284589041095895	59.999760273972605	6.90321917808219	44.742020547945195	4.653219178082186	50.40167808219181	4.785650684931513	51.61993150684932	5.1642808219178065
17-Mohammad	41.629828767123286	11.590068493150683	47.389178082191805	9.36503424657534	50.91517123287669	10.464623287671234	38.96136986301368	7.0240410958904045	46.53404109589042	8.220787671232873	46.59315068493148	7.7489726027397285	37.829520547945194	9.795684931506855	45.58746575342466	9.235445205479456	47.347602739726	9.257910958904105	39.14366438356162	12.287226027397255	44.90119863013697	18.408835616438353	50.92791095890412	10.8591095890411	54.06736301369863	10.807328767123291	53.290205479452084	5.031404109589042	61.2191095890411	9.234486301369856	35.74380136986302	6.691232876712325	45.04428082191782	6.196130136986304	46.2667123287671	7.324041095890412
18-Ruppenhofer	49.08756849315066	13.091815068493162	53.51369863013696	10.253527397260273	57.23280821917808	11.456849315068492	44.41164383561644	7.937671232876714	51.280616438356155	8.601575342465756	51.22613013698627	8.65527397260275	44.72743150684935	12.44428082191782	52.359417808219156	11.98993150684931	53.123835616438384	11.294383561643826	49.12527397260274	16.78294520547946	52.588972602739766	20.825993150684937	59.65921232876714	12.836678082191783	62.36821917808216	11.111472602739727	59.42907534246571	3.5554109589041105	67.81356164383556	9.427705479452053	42.51852739726027	7.410308219178077	50.74051369863017	6.663595890410959	52.26102739726029	8.016917808219175
19-Chen	52.83318493150685	9.407020547945205	55.795753424657555	8.225479452054795	60.00058219178084	8.856061643835625	50.339178082191744	6.020205479452052	54.52578767123287	7.386164383561643	56.812191780821856	6.321609589041098	52.584794520548	5.540445205479452	55.85859589041101	5.737568493150683	59.610000000000035	5.334280821917812	54.899760273972646	9.915068493150693	55.03763698630133	16.687260273972615	64.53154109589042	7.818390410958911	61.23452054794518	8.1752397260274	59.81780821917808	5.330205479452057	66.23595890410958	8.885856164383558	46.169828767123335	6.076438356164377	53.42726027397254	6.037020547945212	54.32791095890411	6.57315068493151
