Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
ss_ss-e-n-l-s	49.32263158	11.17315789	51.96052632	9.369473684	55.94473684	10.31789474	41.75526316	5.241578947	47.55684211	5.597894737	47.73578947	5.535789474	42.99157895	6.811052632	48.67315789	7.571578947	49.37578947	5.936842105	47.66421053	14.92789474	49.65473684	19.33789474	56.97684211	11.36105263	61.15421053	7.895263158	57.28	3.960526316	65.78842105	8.131578947	47.24368421	7.828421053	52.52526316	7.037368421	54.61631579	8.532631579
ss_ss-e-n-s	49.32263158	11.17315789	51.96052632	9.369473684	55.94473684	10.31789474	41.75526316	5.241578947	47.55684211	5.597894737	47.73578947	5.535789474	42.99105263	6.811578947	48.67315789	7.572105263	49.37578947	5.937368421	47.66421053	14.92789474	49.65473684	19.33789474	56.97684211	11.36105263	61.15473684	7.895263158	57.28	3.960526316	65.78842105	8.131578947	47.24368421	7.828421053	52.52526316	7.037368421	54.61631579	8.532631579
lt-pt_lt-pt-e-n-s-t	48.14947368	10.69684211	51.95631579	9.08	55.88789474	9.685789474	41.32736842	5.835789474	47.75526316	6.58	48.28315789	6.117368421	43.21894737	8.076315789	49.82157895	8.333684211	50.97842105	7.256842105	46.24263158	12.50894737	49.16157895	17.80894737	56.71210526	9.428421053	59.45526316	8.482105263	57.46578947	4.372631579	65.11421053	8.018421053	45.55421053	7.308421053	51.93210526	6.438421053	54.04157895	7.701052632
li_r-e-l-n-s	48.66	10.86578947	51.95157895	9.175263158	55.96263158	9.935789474	41.84052632	6.520526316	48.01684211	7.019473684	48.32210526	6.994210526	43.30315789	7.578421053	49.56210526	8.025789474	50.62210526	6.686842105	46.11	13.08473684	48.71947368	18.07368421	56.09684211	9.849473684	60.05157895	8.36	57.15263158	4.127368421	65.32684211	8.391578947	46.53	7.468421053	52.39421053	6.576842105	54.58421053	8.01
ss-ps_ss-ps-l-n-s-t-v	49.8725	11.42875	51.935	9.02875	55.98875	9.83375	43.885	5.0975	47.9275	4.3075	49.16125	4.10875	48.90125	10.96625	52.595	10.395	54.445	8.7525	51.3325	11.70875	51.06375	16.77375	60.05875	8.44875	62.0375	7.62375	58.01625	3.32375	65.655	7.51125	42.47875	6.45375	48.97875	5.88625	50.08375	6.15
lt_lt-n-t	49.32842105	12.38578947	51.87526316	9.516315789	55.71368421	11.16631579	45.29631579	4.937368421	49.81052632	5.408947368	50.65736842	5.204210526	47.34684211	8.615789474	51.64473684	9.154736842	53.54578947	8.015263158	49.42157895	14.60842105	50.31421053	17.96789474	58.24315789	12.33526316	62.00736842	10.84631579	58.16526316	5.170526316	65.73105263	10.47421053	41.72315789	6.024210526	48.55894737	5.611052632	49.71210526	6.253157895
lt_lt-t	49.32842105	12.38578947	51.87526316	9.516315789	55.71368421	11.16631579	45.29631579	4.937368421	49.81052632	5.408947368	50.65736842	5.204210526	47.34684211	8.615789474	51.64473684	9.154736842	53.54578947	8.015263158	49.42157895	14.60842105	50.31421053	17.96789474	58.24315789	12.33526316	62.00736842	10.84631579	58.16526316	5.170526316	65.73105263	10.47421053	41.72315789	6.024210526	48.55894737	5.611052632	49.71210526	6.253157895
ss-ps_ss-ps-e-l-n-t	48.36210526	12.27684211	51.85736842	9.570526316	55.69105263	10.92210526	42.35842105	4.624210526	48.69947368	4.591578947	49.17736842	4.692105263	41.79631579	8.748947368	48.39052632	9.161052632	49.12368421	8.105789474	45.17684211	13.85473684	48.25315789	18.24	55.22736842	10.95315789	61.66052632	11.43473684	58.55736842	4.976315789	66.42368421	10.22631579	45.15894737	7.956315789	51.38368421	6.884210526	53.51789474	8.431578947
c_r-e-l-n-t-s-v	49.985	11.06	51.85375	8.74625	56.185	9.7175	42.2125	5.355	46.59	4.8175	47.57125	4.835	43.695	6.48875	48.42	7.3175	50.53625	5.83	46.7675	11.07875	47.7925	14.7825	56.2275	8.1025	62.39375	9.4975	58.34375	4.5875	66.1225	9.035	48.28375	7.3325	52.82125	6.0825	55.01125	7.2775
c_r-e-l-s-t-v	49.985	11.06	51.85375	8.74625	56.185	9.7175	42.2125	5.355	46.59	4.8175	47.57125	4.835	43.695	6.48875	48.42	7.3175	50.53625	5.83	46.7675	11.07875	47.7925	14.7825	56.2275	8.1025	62.39375	9.4975	58.34375	4.5875	66.1225	9.035	48.28375	7.3325	52.82125	6.0825	55.01125	7.2775
li_li-n-t	48.61368421	12.14631579	51.79578947	9.315789474	55.56842105	10.73105263	44.89789474	5.168421053	49.98736842	5.225263158	50.66526316	5.334210526	46.36105263	8.203157895	51.71789474	8.802105263	53.37421053	7.441052632	48.37894737	13.02315789	50.09894737	18.03368421	57.90473684	10.81105263	61.85789474	10.64263158	58.47894737	4.679473684	66.14	9.944736842	40.67947368	5.747894737	48.02157895	5.135789474	49.13421053	5.766315789
li_li-t	48.61368421	12.14631579	51.79578947	9.315789474	55.56842105	10.73105263	44.89789474	5.168421053	49.98736842	5.225263158	50.66526316	5.334210526	46.36105263	8.203157895	51.71789474	8.802105263	53.37421053	7.441052632	48.37894737	13.02315789	50.09894737	18.03368421	57.90473684	10.81105263	61.85789474	10.64263158	58.47894737	4.679473684	66.14	9.944736842	40.67947368	5.747894737	48.02157895	5.135789474	49.13421053	5.766315789
li-pt_li-pt-e-n-s-t	47.88736842	10.74842105	51.76263158	9.021052632	55.61105263	9.783157895	41.44842105	5.563684211	47.88947368	5.901052632	48.22894737	5.793157895	42.67631579	7.27	49.21210526	7.553157895	50.48631579	6.636315789	45.82105263	12.52052632	48.86052632	17.79421053	56.27842105	9.821052632	59.26473684	8.854210526	57.40842105	4.273157895	64.89789474	8.428421053	45.26736842	7.478421053	51.71631579	6.544210526	53.79	7.907894737
ss-pt_ss-pt-e	49.21842105	12.29105263	51.73473684	9.567368421	55.72105263	11.35526316	43.67631579	6.076842105	49.02105263	6.278947368	49.37789474	6.692631579	41.92894737	8.166842105	47.60368421	8.536315789	48.44210526	7.77	45.11736842	14.06842105	47.28631579	17.27631579	54.29842105	11.47421053	61.63263158	11.22157895	56.86842105	4.904210526	65.30421053	10.97684211	47.34210526	8.157894737	53.1	7.152105263	55.25842105	8.816842105
c_r-e-l-n-s-v	49.98625	10.805	51.72	8.57	56.05375	9.49625	42.34625	5.22625	46.66125	4.81125	47.6525	4.865	43.97375	6.48375	48.59	7.3675	50.7375	5.93625	46.505	10.77875	47.25375	14.16875	55.75	7.61	62.06375	9.185	57.955	4.465	65.69125	8.8675	48.48625	7.17	52.85375	5.8625	55.02875	7.175
li-pt_li-pt-e-l-n-t-s	47.89578947	10.65473684	51.71263158	9.090526316	55.61473684	9.715263158	41.02947368	6.333157895	47.30578947	6.753157895	47.86473684	6.479473684	42.95894737	7.366315789	49.45473684	7.688947368	50.76842105	6.681052632	46.17473684	12.53736842	49.12842105	17.91052632	56.62894737	9.742631579	59.17789474	8.361052632	57.31263158	4.288947368	64.82684211	8.034736842	45.25315789	7.315789474	51.67315789	6.446842105	53.72631579	7.762631579
li-pt_li-pt-e-l-s-t	47.89578947	10.65473684	51.71263158	9.090526316	55.61473684	9.715263158	41.02947368	6.333157895	47.30578947	6.753157895	47.86473684	6.479473684	42.95894737	7.366315789	49.45473684	7.688947368	50.76842105	6.681052632	46.17473684	12.53736842	49.12842105	17.91052632	56.62894737	9.742631579	59.17789474	8.361052632	57.31263158	4.288947368	64.82684211	8.034736842	45.25315789	7.315789474	51.67315789	6.446842105	53.72631579	7.762631579
li_r-e	49.16526316	12.03157895	51.70105263	9.463684211	55.61789474	11.26421053	42.06157895	5.574210526	47.31894737	5.818421053	47.35947368	6.453157895	43.56157895	8.28	48.87526316	8.8	50.05842105	7.604210526	45.80157895	13.13631579	47.69	16.89578947	54.73631579	11.54368421	61.04736842	10.76105263	56.80105263	4.927368421	65.04368421	10.40368421	47.29578947	7.748947368	53.06	6.720526316	55.11578947	8.543157895
li_li-l-s	48.68947368	12.83473684	51.67421053	9.964210526	55.44368421	11.40157895	45.13578947	6.737368421	50.71947368	7.246842105	50.75947368	7.785789474	44.16315789	8.259473684	49.76578947	8.956842105	50.92	7.623684211	47.81	15.26631579	49.86368421	19.53473684	57.25736842	12.17736842	62.88526316	10.74684211	58.31736842	4.672105263	66.69368421	10.37789474	41.34157895	6.341578947	48.47473684	5.807368421	49.76578947	6.886842105
lt_r-e	49.50210526	12.54684211	51.60526316	9.779473684	55.52052632	11.86052632	42.03736842	6.058947368	46.87421053	6.393684211	46.79368421	6.985263158	43.98052632	8.968947368	48.69368421	8.958947368	50.05315789	8.137894737	46.39473684	14.03263158	47.87789474	16.93105263	54.98947368	12.27315789	61.27842105	11.10421053	56.58578947	5.294210526	64.75842105	11.02631579	47.73578947	7.867894737	53.14315789	6.838947368	55.18315789	8.786315789
lt_lt-l-n-s-t	47.78368421	11.56894737	51.58526316	9.378421053	55.36052632	10.17368421	42.87473684	5.989473684	48.96947368	6.838421053	49.47210526	6.475789474	44.71157895	7.818421053	50.88578947	8.462105263	52.14684211	7.005789474	47.92631579	13.29105263	50.12526316	18.69263158	58.05105263	9.689473684	61.17052632	9.048947368	58.42578947	4.337894737	66.26526316	8.620526316	40.54842105	5.674736842	48.27368421	5.528947368	49.48263158	5.874736842
lt_lt-l-t-s	47.78368421	11.56894737	51.58526316	9.378421053	55.36052632	10.17368421	42.87473684	5.989473684	48.96947368	6.838421053	49.47210526	6.475789474	44.71157895	7.818421053	50.88578947	8.462105263	52.14684211	7.005789474	47.92631579	13.29105263	50.12526316	18.69263158	58.05105263	9.689473684	61.17052632	9.048947368	58.42578947	4.337894737	66.26526316	8.620526316	40.54842105	5.674736842	48.27368421	5.528947368	49.48263158	5.874736842
lt_lt-n-l-t-s	47.78368421	11.56894737	51.58526316	9.378421053	55.36052632	10.17368421	42.87473684	5.989473684	48.96947368	6.838421053	49.47210526	6.475789474	44.71157895	7.818421053	50.88578947	8.462105263	52.14684211	7.005789474	47.92631579	13.29105263	50.12526316	18.69263158	58.05105263	9.689473684	61.17052632	9.048947368	58.42578947	4.337894737	66.26526316	8.620526316	40.54842105	5.674736842	48.27368421	5.528947368	49.48263158	5.874736842
li-pt_li-pt-e	49.55157895	12.09736842	51.55789474	9.510526316	55.51105263	11.41473684	43.55368421	6.402105263	48.13368421	6.527894737	48.15421053	7.145789474	43.23315789	7.992105263	48.37789474	8.589473684	49.37894737	7.528421053	45.95526316	14.44947368	47.67684211	17.26157895	54.67947368	12.31157895	61.13631579	10.56473684	56.01789474	4.932105263	64.44894737	10.55210526	47.85684211	7.923157895	53.07947368	6.755263158	55.22315789	8.708421053
lt_lt-s	48.34842105	12.58368421	51.55578947	9.867894737	55.35105263	11.16315789	44.57631579	6.017368421	50.14684211	6.768421053	50.46315789	6.832105263	44.27052632	8.478421053	49.94052632	9.161578947	51.12842105	7.768947368	47.76947368	14.96631579	50.08631579	19.58368421	57.46789474	11.74526316	62.36578947	10.41210526	58.15157895	4.511578947	66.47789474	10.07263158	40.88263158	6.066315789	48.30894737	5.738421053	49.57421053	6.627368421
lt_r-e-n-s-t	47.46947368	11.17421053	51.54210526	9.344736842	55.39736842	10.13315789	39.56315789	5.617894737	46.40368421	6.020526316	46.83315789	5.924210526	42.13526316	7.811052632	48.86105263	8.112105263	49.93684211	6.896315789	45.76526316	13.11052632	48.96894737	18.12263158	56.26210526	10.31421053	59.46421053	8.900526316	57.74421053	4.716842105	65.32157895	8.25	44.94578947	7.114210526	51.57	6.078947368	53.70684211	7.485789474
sc_sc-l-n-s-t	48.48526316	11.44526316	51.51789474	9.432631579	55.41052632	10.26157895	43.68894737	5.588421053	48.87052632	5.807894737	49.45789474	5.686842105	44.40947368	7.239473684	49.79263158	7.989473684	50.97	6.192631579	48.98421053	14.50157895	50.67052632	19.61789474	58.50526316	11.08210526	61.56157895	8.422631579	58.10684211	4.108947368	66.26473684	8.190526316	41.77631579	5.747368421	48.63789474	5.876315789	50.01210526	6.47
sc_sc-l-t-s	48.48526316	11.44526316	51.51789474	9.432631579	55.41052632	10.26157895	43.68894737	5.588421053	48.87052632	5.807894737	49.45789474	5.686842105	44.40947368	7.239473684	49.79263158	7.989473684	50.97	6.192631579	48.98421053	14.50157895	50.67052632	19.61789474	58.50526316	11.08210526	61.56157895	8.422631579	58.10684211	4.108947368	66.26473684	8.190526316	41.77631579	5.747368421	48.63789474	5.876315789	50.01210526	6.47
sc_sc-n-l-t-s	48.48526316	11.44526316	51.51789474	9.432631579	55.41052632	10.26157895	43.68894737	5.588421053	48.87052632	5.807894737	49.45789474	5.686842105	44.40947368	7.239473684	49.79263158	7.989473684	50.97	6.192631579	48.98421053	14.50157895	50.67052632	19.61789474	58.50526316	11.08210526	61.56157895	8.422631579	58.10684211	4.108947368	66.26473684	8.190526316	41.77631579	5.747368421	48.63789474	5.876315789	50.01210526	6.47
sc_sc-n-t-s	48.48526316	11.44578947	51.51789474	9.433157895	55.41	10.26210526	43.68894737	5.588421053	48.87052632	5.807894737	49.45789474	5.686842105	44.41	7.238947368	49.79263158	7.989473684	50.97	6.192631579	48.98315789	14.50315789	50.67	19.61894737	58.50421053	11.08368421	61.56157895	8.422631579	58.10684211	4.108947368	66.26526316	8.19	41.77578947	5.747368421	48.63789474	5.876315789	50.01210526	6.47
sc_sc-t-s	48.48526316	11.44578947	51.51789474	9.433157895	55.41	10.26210526	43.68894737	5.588421053	48.87052632	5.807894737	49.45789474	5.686842105	44.41	7.238947368	49.79263158	7.989473684	50.97	6.192631579	48.98315789	14.50315789	50.67	19.61894737	58.50421053	11.08368421	61.56157895	8.422631579	58.10684211	4.108947368	66.26526316	8.19	41.77578947	5.747368421	48.63789474	5.876315789	50.01210526	6.47
ss_r-e-l-n-t-v	49.60875	10.84875	51.50375	8.49	55.78625	9.54	44.245	6.18875	48.55	4.59125	49.9925	5.16	45.8975	10.6875	50.13	9.73625	51.885	8.49	43.90375	6.91625	45.7325	12.01	53.905	5.80875	60.60625	9.5675	56.66375	4.56875	64.275	9.1175	47.83875	8.52125	52.24375	7.05625	54.5	8.575
li-ps_li-ps-e-l-n-t-s	47.58263158	10.70736842	51.46157895	9.080526316	55.38736842	9.769473684	41.32315789	6.043157895	47.59421053	6.386842105	48.22105263	6.158421053	42.24789474	8.188421053	48.84947368	8.126842105	50.11578947	7.428947368	46.56631579	12.92631579	49.57473684	18.17052632	57.04263158	10.18736842	58.46105263	8.647894737	56.69473684	4.134736842	64.24684211	8.131052632	44.82421053	7.54	51.28157895	6.621578947	53.39736842	7.964210526
li-ps_li-ps-e-l-s-t	47.58263158	10.70736842	51.46157895	9.080526316	55.38736842	9.769473684	41.32315789	6.043157895	47.59421053	6.386842105	48.22105263	6.158421053	42.24789474	8.188421053	48.84947368	8.126842105	50.11578947	7.428947368	46.56631579	12.92631579	49.57473684	18.17052632	57.04263158	10.18736842	58.46105263	8.647894737	56.69473684	4.134736842	64.24684211	8.131052632	44.82421053	7.54	51.28157895	6.621578947	53.39736842	7.964210526
li-ps_li-ps-e-n-s-t	47.47842105	10.86210526	51.44105263	9.046842105	55.29736842	9.905789474	41.40526316	5.416842105	47.83315789	5.733157895	48.23526316	5.697894737	42.05947368	8.046842105	48.71631579	7.919473684	49.92526316	7.312631579	46.15052632	12.94947368	49.29105263	18.09789474	56.63578947	10.32105263	58.58368421	9.182631579	56.87684211	4.103684211	64.36105263	8.567894737	44.63473684	7.594736842	51.15421053	6.687894737	53.29157895	8.042631579
ss-ps_ss-ps-e	48.58315789	12.54526316	51.43736842	9.801578947	55.33	11.51947368	42.89894737	6.431578947	48.72105263	6.693157895	48.93578947	7.291578947	41.43894737	8.758421053	47.41578947	9.008947368	48.01894737	8.346315789	44.47263158	13.96894737	46.97578947	17.69052632	53.85263158	11.36789474	61.19105263	11.48578947	56.92842105	4.794736842	65.29526316	10.93210526	46.54684211	8.863684211	52.46105263	7.705789474	54.61842105	9.541578947
sc_sc-l-s	49.54	12.98263158	51.41684211	10.00894737	55.25894737	11.76684211	45.83842105	7.047368421	50.67157895	7.260526316	50.22789474	8.223157895	43.71947368	8.329473684	48.45789474	8.880526316	49.13473684	7.677368421	47.63368421	16.65473684	48.65736842	19.91947368	55.89736842	13.29736842	63.69578947	10.49421053	57.62736842	4.296315789	66.68157895	10.41526316	43.45315789	6.764736842	49.47210526	6.544736842	50.99842105	7.825263158
sc_sc-s	49.54	12.98263158	51.41684211	10.00894737	55.25894737	11.76684211	45.83842105	7.047368421	50.67157895	7.260526316	50.22789474	8.223157895	43.71947368	8.329473684	48.45789474	8.880526316	49.13526316	7.676842105	47.63368421	16.65473684	48.65736842	19.91947368	55.89736842	13.29736842	63.69578947	10.49421053	57.62684211	4.296842105	66.68157895	10.41526316	43.45315789	6.764736842	49.47210526	6.544736842	50.99842105	7.825263158
li_r-e-n-s-t	47.28210526	11.42947368	51.40842105	9.443684211	55.18368421	10.39947368	39.15684211	5.243684211	45.97947368	5.458421053	46.12105263	5.417894737	41.74315789	7.641052632	48.52789474	7.887368421	49.57315789	6.812105263	45.43789474	13.73210526	48.72105263	18.43105263	55.88315789	11.13526316	59.49157895	9.397368421	57.77894737	4.592631579	65.34473684	8.647368421	44.86315789	7.184210526	51.59842105	6.084736842	53.70894737	7.568421053
ss_ss-l-n-s-t	48.07736842	11.77210526	51.37894737	9.586842105	55.13947368	10.50052632	42.62052632	5.750526316	48.30947368	6.263684211	48.72789474	6.022631579	43.97473684	7.216842105	49.77894737	7.991052632	50.75315789	6.229473684	48.56631579	14.90578947	50.40263158	19.65263158	58.08157895	11.18105263	61.79473684	8.365263158	58.50578947	4.193157895	66.54315789	8.190526316	41.18421053	5.849473684	48.26315789	5.778421053	49.56473684	6.392631579
ss_ss-l-t-s	48.07736842	11.77210526	51.37894737	9.586842105	55.13947368	10.50052632	42.62052632	5.750526316	48.30947368	6.263684211	48.72789474	6.022631579	43.97473684	7.216842105	49.77894737	7.991052632	50.75315789	6.229473684	48.56631579	14.90578947	50.40263158	19.65263158	58.08157895	11.18105263	61.79473684	8.365263158	58.50578947	4.193157895	66.54315789	8.190526316	41.18421053	5.849473684	48.26315789	5.778421053	49.56473684	6.392631579
ss_ss-n-l-t-s	48.07736842	11.77210526	51.37894737	9.586842105	55.13947368	10.50052632	42.62052632	5.750526316	48.30947368	6.263684211	48.72789474	6.022631579	43.97473684	7.216842105	49.77894737	7.991052632	50.75315789	6.229473684	48.56631579	14.90578947	50.40263158	19.65263158	58.08157895	11.18105263	61.79473684	8.365263158	58.50578947	4.193157895	66.54315789	8.190526316	41.18421053	5.849473684	48.26315789	5.778421053	49.56473684	6.392631579
ss_ss-n-t-s	48.07736842	11.77263158	51.37894737	9.586842105	55.13947368	10.50052632	42.62052632	5.750526316	48.30947368	6.263684211	48.72789474	6.022631579	43.97473684	7.216842105	49.77842105	7.991578947	50.75315789	6.229473684	48.56526316	14.90736842	50.40157895	19.65421053	58.08052632	11.18315789	61.79473684	8.365263158	58.50631579	4.193684211	66.54315789	8.190526316	41.18421053	5.849473684	48.26315789	5.778421053	49.56473684	6.392631579
ss_ss-t-s	48.07736842	11.77263158	51.37894737	9.586842105	55.13947368	10.50052632	42.62052632	5.750526316	48.30947368	6.263684211	48.72789474	6.022631579	43.97473684	7.216842105	49.77842105	7.991578947	50.75315789	6.229473684	48.56526316	14.90736842	50.40157895	19.65421053	58.08052632	11.18315789	61.79473684	8.365263158	58.50631579	4.193684211	66.54315789	8.190526316	41.18421053	5.849473684	48.26315789	5.778421053	49.56473684	6.392631579
lt_lt-n-l	48.97789474	12.23842105	51.37526316	9.446315789	55.24947368	11.17736842	44.86684211	5.206315789	49.26578947	5.746842105	49.92631579	5.647894737	46.98947368	8.528421053	51.29526316	9.085789474	53.03368421	7.836315789	49.16157895	14.7	49.98578947	17.97789474	57.89105263	12.22473684	61.21947368	10.53684211	57.12368421	4.973684211	64.94684211	10.53736842	41.73526316	5.956315789	48.37842105	5.602105263	49.61947368	6.393684211
sc_sc-n	49.24157895	11.84421053	51.34684211	9.385263158	55.33210526	10.73210526	45.72	5.173157895	50.12736842	5.515789474	51.00263158	5.296842105	46.16894737	7.915263158	50.44526316	8.391578947	51.83315789	6.704210526	48.22526316	13.67157895	49.19631579	18.26578947	56.94105263	10.98105263	62.14105263	9.091052632	57.53	4.072105263	65.85315789	9.139473684	42.29789474	6.723684211	48.33315789	6.658947368	49.67947368	7.451578947
sc_sc-n-l	49.24157895	11.84421053	51.34684211	9.385263158	55.33210526	10.73210526	45.72	5.173157895	50.12736842	5.515789474	51.00263158	5.296842105	46.16894737	7.915263158	50.44526316	8.391578947	51.83315789	6.704210526	48.22526316	13.67157895	49.19631579	18.26578947	56.94105263	10.98105263	62.14105263	9.091052632	57.53	4.072105263	65.85263158	9.139473684	42.29789474	6.723684211	48.33315789	6.658947368	49.67947368	7.451578947
lt-ps_lt-ps-e-l-n-t-s	47.31842105	10.73578947	51.33631579	9.005263158	55.24421053	9.711052632	41.01263158	5.091052632	47.62526316	5.779473684	48.23157895	5.416842105	42.16368421	8.607368421	48.94473684	8.634210526	50.04157895	7.89	45.86210526	12.66210526	48.81526316	17.75789474	56.29789474	9.467368421	58.38421053	8.728947368	56.73526316	4.26	64.29736842	8.188421053	44.55157895	7.506315789	51.14947368	6.467368421	53.27947368	7.878947368
lt-ps_lt-ps-e-l-s-t	47.31842105	10.73578947	51.33631579	9.005263158	55.24421053	9.711052632	41.01263158	5.091052632	47.62526316	5.779473684	48.23157895	5.416842105	42.16368421	8.607368421	48.94473684	8.634210526	50.04157895	7.89	45.86210526	12.66210526	48.81526316	17.75789474	56.29789474	9.467368421	58.38421053	8.728947368	56.73526316	4.26	64.29736842	8.188421053	44.55157895	7.506315789	51.14947368	6.467368421	53.27947368	7.878947368
li_li-l-n-s-t	47.49263158	11.60421053	51.31473684	9.432105263	55.07894737	10.27526316	42.56789474	6.423157895	48.56210526	6.958947368	49.03	6.828947368	44.24894737	7.453157895	50.41263158	8.09	51.74	6.707368421	47.95052632	13.35315789	50.26315789	18.88421053	58.14105263	10.14210526	60.82315789	8.962631579	58.19210526	4.320526316	65.97578947	8.582631579	40.24	5.686842105	47.93947368	5.478947368	49.15894737	5.862105263
li_li-l-t-s	47.49263158	11.60421053	51.31473684	9.432105263	55.07894737	10.27526316	42.56789474	6.423157895	48.56210526	6.958947368	49.03	6.828947368	44.24894737	7.453157895	50.41263158	8.09	51.74	6.707368421	47.95052632	13.35315789	50.26315789	18.88421053	58.14105263	10.14210526	60.82315789	8.962631579	58.19210526	4.320526316	65.97578947	8.582631579	40.24	5.686842105	47.93947368	5.478947368	49.15894737	5.862105263
li_li-n-l-t-s	47.49263158	11.60421053	51.31473684	9.432105263	55.07894737	10.27526316	42.56789474	6.423157895	48.56210526	6.958947368	49.03	6.828947368	44.24894737	7.453157895	50.41263158	8.09	51.74	6.707368421	47.95052632	13.35315789	50.26315789	18.88421053	58.14105263	10.14210526	60.82315789	8.962631579	58.19210526	4.320526316	65.97578947	8.582631579	40.24	5.686842105	47.93947368	5.478947368	49.15894737	5.862105263
lt-pt_lt-pt-e-l-n-s	47.63368421	10.44684211	51.28421053	8.856315789	55.25736842	9.546315789	41.24210526	5.736315789	47.65052632	6.237368421	48.04473684	6.050526316	42.51421053	7.547368421	49.00210526	7.840526316	50.10842105	6.834210526	45.44263158	12.16368421	48.06105263	17.20789474	55.58473684	8.771052632	58.53368421	7.970526316	56.35368421	4.073157895	64.25947368	7.920526316	45.40210526	7.531578947	51.63210526	6.671578947	53.77	8.014210526
li_li-n-l	48.70315789	12.65157895	51.24105263	9.670526316	55.06578947	11.35473684	43.79421053	5.164210526	48.71842105	5.586315789	48.88105263	5.704210526	45.69631579	8.536842105	50.77947368	9.039473684	52.11842105	7.613684211	48.59157895	15.54789474	49.91526316	19.07526316	57.50052632	12.73842105	62.03947368	10.54263158	57.49526316	4.672631579	65.70210526	10.33842105	41.60368421	6.098947368	48.18631579	5.495263158	49.55	6.394736842
lt-pt_lt-pt-e	50.02789474	12.68684211	51.23052632	9.721052632	55.27263158	12.10263158	44.20052632	6.148421053	48.03526316	6.755789474	48.22789474	6.941052632	43.50578947	8.170526316	47.73526316	8.65	48.76526316	7.769473684	46.65526316	15.42210526	47.42631579	16.88947368	54.56473684	13.28157895	61.43421053	11.23263158	55.13105263	5.307368421	63.73315789	11.55368421	48.38315789	8.048421053	53.23052632	6.99	55.35	8.9
lt-ps_lt-ps-e-n-s-t	47.15105263	10.70947368	51.22842105	8.982105263	55.13210526	9.695789474	40.84789474	5.146315789	47.4	5.966315789	48.08157895	5.433157895	41.97631579	8.703157895	48.78105263	8.683684211	49.86	7.92	45.64578947	12.39	48.71157895	17.56736842	56.18	9.316315789	58.24315789	8.827368421	56.69210526	4.288421053	64.21578947	8.221578947	44.39736842	7.39	51.07421053	6.371052632	53.19631579	7.772105263
li-ps_li-ps-e	49.11736842	12.17315789	51.20210526	9.514736842	55.14105263	11.49210526	43.33578947	6.420526316	47.93789474	6.502631579	47.99210526	7.218421053	42.72526316	8.316842105	47.96736842	8.776842105	48.94526316	8.027894737	45.95842105	14.67105263	47.75789474	17.34578947	54.63526316	12.51684211	60.47473684	10.74315789	55.51052632	4.629473684	63.90736842	10.54842105	47.32368421	8.047894737	52.58052632	6.959473684	54.76210526	8.890526316
sc_sc	49.95947368	12.25526316	51.19526316	9.361578947	55.19421053	11.18052632	47.85578947	5.954736842	51.43473684	6.272631579	52.15473684	6.649473684	45.64736842	7.887368421	49.23736842	8.171052632	50.57578947	6.951052632	47.64368421	14.39894737	47.84578947	17.61894737	55.39052632	11.94210526	62.55789474	9.802631579	56.47	4.974210526	65.09578947	10.13157895	43.82526316	6.573684211	49.33315789	6.238947368	50.67315789	7.423157895
sc_sc-l	49.95947368	12.25526316	51.19526316	9.361578947	55.19421053	11.18052632	47.85578947	5.954736842	51.43473684	6.272631579	52.15473684	6.649473684	45.64736842	7.887368421	49.23736842	8.171052632	50.57578947	6.951052632	47.64368421	14.39894737	47.84578947	17.61894737	55.39052632	11.94210526	62.55789474	9.802631579	56.47	4.974210526	65.09578947	10.13157895	43.82526316	6.573684211	49.33315789	6.238947368	50.67315789	7.423157895
pt_pt-e-l-n-t-v	49.025	12.0175	51.16375	8.99375	55.4225	10.4975	42.5925	4.77625	47.43375	3.92	48.13125	3.94125	42.38125	7.45875	47.545	7.9075	49.34125	6.61875	44.4275	10.49625	45.57375	13.0325	53.91375	8.1825	62.2725	12.04125	58.12375	5.69625	66.0025	10.7825	46.8275	8.15375	51.83125	6.69125	54.04625	8.12
lt_r-l-n-s-t	47.18736842	11.75789474	51.12894737	9.550526316	54.90842105	10.34263158	42.49210526	6.580526316	48.84315789	7.263157895	49.34	7.086315789	43.97631579	8.030526316	50.37368421	8.475263158	51.55421053	6.961578947	47.13894737	13.37736842	49.69631579	18.73842105	57.37684211	10.00263158	60.70894737	9.054210526	58.04684211	4.625263158	65.94263158	8.656315789	39.89894737	5.557368421	47.59947368	5.426315789	48.93842105	5.744736842
