Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
lt-pt_lt-pt-e-l-n-t-v	56.97625	10.74625	56.51875	8.76875	61.0225	9.74125	50.0475	4.25375	52.2275	4.3125	53.37875	3.70875	53.49625	10.92625	55.2775	10.44875	57.67	9.155	55.84375	14.3525	53.9675	17.5275	62.9575	10.94875	66.61125	8.78625	60.2425	3.75875	68.19	9.16125	54.71625	6.56	57.46125	5.15875	59.58625	6.415
li-pt_li-pt-e-l-n-t-v	56.34	10.87375	56.47	9.0075	60.9225	9.66125	48.485	4.75	51.35	3.9475	52.4175	3.72125	53.11	10.7325	55.365	10.19625	57.71	8.50375	55.2875	13.74	53.99375	17.63125	63.0375	10.23875	66.55	8.745	60.85375	3.65	68.65375	8.9	53.89875	7.06875	57.17	5.73	59.2775	6.91125
sc-ps_sc-ps-e-v	56.25875	10.85625	56.4475	9.255	60.895	9.9225	50.02875	6.33875	52.2725	5.60125	53.9575	5.845	53.01625	11.225	55.195	10.64	57.67125	9.31625	54.84	11.61375	53.135	15.62625	62.2475	9.6975	65.00125	8.7025	59.93125	3.805	67.295	8.86875	54.42	8.6275	57.91125	7.61875	59.965	8.74125
sc_sc-e-l-v-s	57.9525	11.78375	56.435	10.14	60.8675	10.855	50.11	6.25625	51.33875	5.09125	51.9725	5.89	53.495	10.71	54.66375	10.83875	56.66625	8.63625	54.82875	14.815	52.11375	17.35125	60.88	10.93625	67.98125	7.99125	60.14875	4.4725	68.58375	9.01	57.31125	9.5175	58.93375	8.60125	60.97875	10.025
sc_sc-e-v-s	57.9525	11.78375	56.435	10.14	60.86625	10.855	50.11	6.25625	51.33875	5.09125	51.9725	5.89	53.495	10.71	54.66375	10.83875	56.66625	8.63625	54.82625	14.81875	52.1125	17.35375	60.8775	10.94	67.98125	7.99125	60.14875	4.4725	68.58375	9.01	57.31125	9.5175	58.93375	8.60125	60.97875	10.025
li_li-e-n-t-v	56.30375	10.80375	56.32375	9.0275	60.7825	9.69	48.58125	4.44625	51.28375	3.80625	52.4075	3.58375	54.11625	10.87	56.0325	10.3975	58.58625	8.54875	55.6375	13.6075	54.13	17.5675	63.205	10.555	65.79125	8.57875	60.15125	3.81375	67.91	8.845	53.68625	7.4425	56.89625	6.0975	58.92	7.28875
li_li-e-t-v	56.30375	10.80375	56.32375	9.0275	60.7825	9.69	48.58125	4.44625	51.28375	3.80625	52.4075	3.58375	54.11625	10.87	56.0325	10.3975	58.58625	8.54875	55.6375	13.6075	54.13	17.5675	63.205	10.555	65.79125	8.57875	60.15125	3.81375	67.91	8.845	53.68625	7.4425	56.89625	6.0975	58.92	7.28875
sc-pt_sc-pt-e-l-n-t-v	55.86625	10.40375	56.3075	8.71375	60.81	9.24375	48.75875	4.29875	51.51875	3.78625	52.97125	3.41	52.87	10.46375	55.26375	9.76625	57.81	8.25375	55.21625	11.93375	54.08625	17.06125	63.2175	8.77125	65.985	8.47375	60.9825	3.475	68.58125	8.3	52.81125	7.1425	56.435	6.1825	58.55	7.07
lt_lt-e-l-n-s-v	56.49875	9.765	56.2925	8.61375	60.89625	8.58625	47.97875	4.65625	50.73	4.33125	51.8675	3.8475	53.85375	10.8325	55.8675	10.745	58.21875	8.46125	55.305	11.5275	53.55875	17.26625	62.88	7.19875	65.79875	6.5	59.95125	3.49375	68.06125	7.4525	54.92375	6.285	57.6	5.28625	59.7875	6.18375
li_li-e-l-n-t-s-v	55.97875	10.1	56.285	8.95	60.8275	8.84875	47.2475	5.6475	50.2175	5.205	51.5525	4.92875	53.75125	10.99875	56.025	10.705	58.4725	8.61375	55.16125	12.00375	54.11625	17.9475	63.3175	8.62875	65.355	7.03375	60.1725	3.60125	68.00625	7.57125	54.0575	6.42375	57.29125	5.32625	59.42125	6.15375
li_li-e-l-s-t-v	55.97875	10.1	56.285	8.95	60.8275	8.84875	47.2475	5.6475	50.2175	5.205	51.5525	4.92875	53.75125	10.99875	56.025	10.705	58.4725	8.61375	55.16125	12.00375	54.11625	17.9475	63.3175	8.62875	65.355	7.03375	60.1725	3.60125	68.00625	7.57125	54.0575	6.42375	57.29125	5.32625	59.42125	6.15375
